_id,signature,body_bytes_sent,ip,request.method,request.path,request.protocol,request_body,status,timestamp
20d2493c-a1e2-44c6-8c17-bdb9af4b71fd,40b4c9efa928617c5ee01f2b6ec7a56e,279,95.166.158.123,POST,CrossSiteScripting/attack1,HTTP/1.1,payload=javascript:alert(1)&nonce=25bba4fb,200,2025-11-26T13:19:11.797488
b2445542-60d3-410c-bb9d-16d12c5eec1f,3ca8fa9ed0b3ad6d81348db92aa8a002,14741,4.21.209.165,POST,service/restxml,HTTP/1.1,payload=9ad7caab ' OR 1=1#,404,2025-11-26T13:19:12.102297
2dc6d955-5488-429d-8615-12d1b7926706,4ba58a8b9f937630040a30cf51036eb3,279,54.56.55.4,POST,CrossSiteScripting/attack1,HTTP/1.1,payload=..\..\..\windows\win.ini&nonce=18b91e5f,200,2025-11-26T13:19:12.184487
4a5b1581-6f51-4308-89a8-4722b0ca7216,5edf38581be959b2e0e830f279bc751d,14741,109.228.154.125,POST,service/restxml,HTTP/1.1,payload=admin' -- ,404,2025-11-26T13:19:12.273836
ac1556c2-0645-4dd5-9be5-3b0fb0e05870,3fd1edf8221305946ef5e886c0bdf447,14741,133.213.8.60,POST,service/restxml,HTTP/1.1,payload=| dir ,404,2025-11-26T13:19:12.341364
71cbe54a-3e44-45c1-8de2-78ac8cca7546,994a4641078bd1047925ae846a6911ba,279,72.97.33.84,POST,CrossSiteScripting/attack1,HTTP/1.1,payload=/proc/self/environ -- af776f54,200,2025-11-26T13:19:12.437642
aaecef2c-f1bc-4fb1-b81d-c489608d075f,6395dd252f2388c033788aa09d885d2a,15972,110.224.13.223,POST,SqlInjection/attack8,HTTP/1.1,payload=bf0d7e39 <img src=x onerror=alert(1)>,400,2025-11-26T13:19:12.537427
b596ff63-2811-42bd-a20f-7ebd3b472aa0,e1ecd53e91211cbbd378cb2e6089c892,279,52.175.89.144,POST,CrossSiteScripting/attack1,HTTP/1.1,payload=javascript:alert(1)&nonce=b128f278,200,2025-11-26T13:19:12.605579
5c1e8c85-273b-4af0-b2d0-f8dbd47e78a5,5672d4d4a423b9032e9fac345413ef0c,14753,62.211.49.234,POST,cia/command-injection,HTTP/1.1,payload=<script>alert('XSS')</script>&nonce=95d64cc3,404,2025-11-26T13:19:12.684805
aa7cd2f6-643a-4e49-8982-30636335c276,fdcb7ab1a225e3a6bb9872dea49efa42,14741,63.127.232.27,POST,service/restxml,HTTP/1.1,payload=javascript:alert(1)&nonce=e9641298,404,2025-11-26T13:19:12.778915
